class_name,coef_mean,coef_std
Explicit,0.3114110389735478,0.007141606488361288
Explicit,0.0453684715579502,0.009279385930955291
Explicit,-0.003625465071196913,0.012849684417692547
Explicit,-0.5800360572680439,0.007988165719156969
Explicit,-0.24035563821882094,0.016037579069237896
Explicit,0.5047782006583174,0.01468559472453197
Explicit,0.011705453123192452,0.013293387018125258
Explicit,0.0031791889497468696,0.008671968225550133
Explicit,-0.4132425880146357,0.009279202658896573
Explicit,-0.2752961760506931,0.002966343933473423
General Audiences,-0.10065350191253768,0.005820441574397545
General Audiences,-0.02735080238936295,0.009054587386151482
General Audiences,-0.23338633676129628,0.009132913961193102
General Audiences,0.6037363532076997,0.0049734129404991
General Audiences,0.17592927608201697,0.01391552495302561
General Audiences,-0.26730322906645226,0.010305964460576399
General Audiences,0.009205125089472873,0.0078066240945549835
General Audiences,0.1630100181492789,0.006809486829467266
General Audiences,0.12152269405722074,0.005653240753767847
General Audiences,0.169921066157198,0.00937444975660154
Mature,-0.058671808127997084,0.01188739191541084
Mature,0.028407776751054038,0.005739493934564731
Mature,0.17103689143384743,0.009608936235717585
Mature,-0.2238744566424565,0.007697378961876747
Mature,-0.047602415467311185,0.010338138923526483
Mature,0.020730424420235018,0.020417112871327702
Mature,-0.07258073513992969,0.006604106302117267
Mature,-0.05664337534711278,0.009604815867081876
Mature,0.10703146132364774,0.008315348208250042
Mature,-0.006673813130981665,0.008964884614607632
Teen And Up Audiences,-0.152085728933013,0.005956435931109449
Teen And Up Audiences,-0.04642544591964128,0.004324554288563865
Teen And Up Audiences,0.0659749103986457,0.004696218189088702
Teen And Up Audiences,0.20017416070280056,0.010568445213701504
Teen And Up Audiences,0.11202877760411518,0.00926755003895614
Teen And Up Audiences,-0.25820539601210013,0.010451715397280655
Teen And Up Audiences,0.05167015692726429,0.00833580045617675
Teen And Up Audiences,-0.1095458317519129,0.008158040491972279
Teen And Up Audiences,0.18468843263376727,0.006397756008053595
Teen And Up Audiences,0.11204892302447675,0.007016413899952643
