variable,max_r
pos_prop_NUM,0.23009630318610222
pos_prop_SYM,0.19724695017632327
pos_prop_X,0.203194936528733
prevalence_mean,0.2886875265640722
semicolon_rate,0.16640539246868336
dash_rate,0.1348763774362521
ellipsis_rate,0.2667930157768548
