variable_a,variable_b,r,reach_a,reach_b,recommended_keep,recommended_drop
top_ngram_chr_fraction_3,top_ngram_chr_fraction_4,0.843,0.177,0.149,top_ngram_chr_fraction_3,top_ngram_chr_fraction_4
pos_prop_ADJ,pos_prop_PROPN,-0.845,0.294,0.32,pos_prop_PROPN,pos_prop_ADJ
pos_prop_ADJ,prevalence_mean,0.818,0.294,0.309,prevalence_mean,pos_prop_ADJ
pos_prop_ADP,pos_prop_DET,0.822,0.301,0.292,pos_prop_ADP,pos_prop_DET
pos_prop_ADP,pos_prop_PROPN,-0.877,0.3,0.32,pos_prop_PROPN,pos_prop_ADP
pos_prop_ADP,pos_prop_VERB,0.836,0.301,0.301,pos_prop_ADP,pos_prop_VERB
pos_prop_ADP,prevalence_mean,0.876,0.3,0.308,prevalence_mean,pos_prop_ADP
pos_prop_ADP,mean_dependents_per_head,-0.853,0.301,0.292,pos_prop_ADP,mean_dependents_per_head
pos_prop_ADP,prop_complex_sentences,0.838,0.301,0.313,prop_complex_sentences,pos_prop_ADP
pos_prop_AUX,pos_prop_PRON,0.813,0.257,0.267,pos_prop_PRON,pos_prop_AUX
pos_prop_AUX,prevalence_mean,0.804,0.257,0.309,prevalence_mean,pos_prop_AUX
pos_prop_DET,pos_prop_PROPN,-0.82,0.292,0.32,pos_prop_PROPN,pos_prop_DET
pos_prop_NOUN,mean_dependents_per_head,-0.808,0.27,0.292,mean_dependents_per_head,pos_prop_NOUN
pos_prop_PART,pos_prop_PROPN,-0.807,0.261,0.32,pos_prop_PROPN,pos_prop_PART
pos_prop_PRON,pos_prop_PROPN,-0.872,0.266,0.32,pos_prop_PROPN,pos_prop_PRON
pos_prop_PRON,pos_prop_VERB,0.873,0.266,0.3,pos_prop_VERB,pos_prop_PRON
pos_prop_PRON,aoa_mean,-0.829,0.267,0.287,aoa_mean,pos_prop_PRON
pos_prop_PRON,aoa_std,-0.858,0.266,0.282,aoa_std,pos_prop_PRON
pos_prop_PRON,prevalence_mean,0.864,0.266,0.308,prevalence_mean,pos_prop_PRON
pos_prop_PROPN,pos_prop_VERB,-0.937,0.319,0.3,pos_prop_PROPN,pos_prop_VERB
pos_prop_PROPN,concreteness_mean,0.85,0.32,0.302,pos_prop_PROPN,concreteness_mean
pos_prop_PROPN,aoa_mean,0.914,0.319,0.286,pos_prop_PROPN,aoa_mean
pos_prop_PROPN,aoa_std,0.906,0.319,0.282,pos_prop_PROPN,aoa_std
pos_prop_PROPN,prevalence_mean,-0.969,0.319,0.307,pos_prop_PROPN,prevalence_mean
pos_prop_PROPN,mean_dependents_per_head,0.859,0.32,0.292,pos_prop_PROPN,mean_dependents_per_head
pos_prop_PROPN,prop_complex_sentences,-0.858,0.32,0.313,pos_prop_PROPN,prop_complex_sentences
pos_prop_SCONJ,prop_complex_sentences,0.81,0.265,0.314,prop_complex_sentences,pos_prop_SCONJ
