skewness,kurtosis
1.9406158596030398,2.7932764637775156
1.450827732345737,76.81823214286963
1.2525485437270074,3.2856058612568217
1.2093990791636096,5.271168621642879
1.1521479910222243,4.55174208103227
0.9894770650084098,-0.7783729597745475
0.888041987575143,5.608213275048911
0.8842190539799373,-0.7062018899957305
-0.8582987972407888,6.774298573694262
0.85156178450308,3.8175467879446456
0.8513290834322157,-0.6123805033553991
0.7767785734335363,-0.806766209286581
0.7523023201495084,32.30553595831824
0.7220596610479575,-1.0011691677743122
0.6514510314073115,2.6177419680681924
0.6455881868877636,0.8758189929596063
0.6427461735375987,1.5696011291048517
0.6004408913900725,-1.1673670497191173
0.5820000745862922,1.5095208997901866
-0.5645745101519695,2.0785309083052432
0.5312466093902645,-0.24208817740884347
-0.5172162749897873,5.252794990184794
0.4554895080868971,0.7912769980735122
-0.4497629118696791,1.575468179022601
0.40806565501000885,0.7448257211221718
-0.39870492682459124,12.142694749324088
0.3575359607675812,-0.12945593755639528
-0.35536102880058174,5.88877163590241
-0.3407058188943794,6.581540202696273
0.3397695226610874,1.375770812724312
-0.28724512677243375,11.17367762472326
0.271613628672626,4.85337248840207
0.2554541716672849,0.7653626722942617
0.25488092310158494,-0.47840362929796765
0.24408825729479475,-0.72718872371285
0.23461692513627622,-1.082788501392939
0.2261530771179544,-1.0649692958958439
-0.2101608211023843,-0.6981978886048337
0.20424395699609457,0.8427459189053534
0.1977387185137444,0.6742457346520081
0.19486008633993845,-0.3109451249355577
-0.1910707146994098,2.1331230829753522
0.18326664573234144,2.500755206169882
-0.15711043333645996,0.45319859680822683
-0.1342006867761526,1.5943894608487348
-0.13321299840761724,2.4503617041624546
0.12821208960820615,-0.33987555151529714
-0.1266154820596301,0.19917058039628888
0.12113674626271959,2.7814518714621057
0.11967837060141678,-0.6141330836607737
0.1130297644162329,0.7335302346385739
0.11211970808553733,-0.33786944749071024
0.10565290516010631,0.6496220390681118
-0.09473350557237165,5.910567005382983
0.08295971624335712,-0.7259308515945904
-0.0806058556021764,1.2333831576722964
-0.07728941828936707,0.9976253422628463
-0.07666222334552587,1.0751137272571265
-0.07158455736061257,1.0917788365764967
-0.07146759677419551,0.7004041927662805
-0.06660521285798462,0.41035410653812265
-0.06658872779219215,1.9073694966044767
-0.055752624879630404,0.7931518080307747
-0.05501610660740066,1.6152038316763582
-0.051745527090757,2.19768816214959
0.05009823438007843,-0.238946891003621
-0.04217642718613127,0.6618970675000737
-0.041434865402170756,1.1722631116940185
0.03661201578726281,0.004140370565807405
0.026489833990925343,-0.09331565250800367
-0.021938993724898496,0.28114728109277154
-0.013094776374878025,0.1663966681440674
0.010086025680239382,0.10930956536815506
0.009438292284115395,3.741538606685543
-0.00042066122520657313,0.1143096448240013
