id,anon_author,fandom_label,rating,published,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10
53262055,author_6596,random,Mature,2024-01-24,-0.18677302800618484,-0.7009836955752723,0.8375937526634223,-0.918278536454237,-1.1766149690427516,1.0589442288964035,0.31530044658279693,0.5702486330980081,0.7103193935255845,1.4809325221154088
51560773,author_628,random,Explicit,2023-11-13,0.8139249255270264,-0.9484836818644452,-0.2722395002308488,-0.6541754363028782,-0.7150071518545223,1.1499957124357418,0.0987573311584352,-0.9672507368186084,-1.1515338110791906,-0.4130660150069277
51526354,author_7300,random,General Audiences,2023-11-11,-1.2713602700552258,-3.546188150670569,-1.3698064225391051,0.7023601722870315,-0.00788027468767991,0.33519475104396745,0.5385331929693767,0.7820282662940775,-0.9417222771127248,-0.6704898103030987
66710050,author_4946,random,Explicit,2025-06-19,-1.5607038680421823,1.1332753725933375,0.5902490533364231,-1.6010259288299202,-0.795851833379466,0.5412833081869605,-0.3272905163593236,-0.3015039084790469,-0.08150830703278823,0.4585351880936605
54786325,author_10274,random,Teen And Up Audiences,2024-04-12,0.4886069313860779,0.14697413114498845,0.17959858781772634,-1.3450544824655697,-1.993538994468544,-0.5955091754229094,0.11066336781625864,-0.5861578475712196,0.3444968926904412,-0.18469136589764756
66228184,author_628,random,Teen And Up Audiences,2025-06-06,-1.426680315916185,-0.07451864536053183,-0.6585081656904384,0.17432762515976707,-0.4839756939319389,-0.3359101122576995,0.7757190483223962,0.6630862668659383,-1.4869176721715789,0.4659585759619383
64954681,author_10469,random,Explicit,2025-04-23,0.3416267271618311,-1.1763671208415212,1.005686374948646,0.4996774563806811,-0.4883892776609688,0.31911719755540346,0.6200808328921105,-0.9543591130463538,0.32572546502682675,-1.3827995773594457
47199394,author_3156,random,Explicit,2023-05-15,0.4458301158648233,0.436389545012084,1.5206416428038254,-0.7146260066976017,-0.15507133680701032,0.9697220535692912,-0.9202900366379456,-1.4110956568168544,0.257557807886605,-1.6762808131786076
44254111,author_11011,random,Mature,2023-01-14,0.7042598822338751,-0.6647016837439825,0.9688247186033352,-0.7815159397726074,-1.3718250724173722,-0.5173744118095364,-0.33342683291639846,-1.2939761024160936,0.4261817310789615,-0.05756049339488062
50749468,author_7977,random,Teen And Up Audiences,2023-10-11,1.0736580816363752,0.4903603701546159,-0.7489131847815735,1.365036412893634,-0.8596306689884805,-1.4388257382261465,-1.1692206026966876,1.225567687649122,0.9268633846831956,0.49241057368524377
63100972,author_7348,random,Teen And Up Audiences,2025-02-16,-1.1691317506528738,1.585343835000522,0.5968072349097694,0.8013615911057611,-0.24666750856093927,-0.18410652279986472,1.3839820680440973,0.7711799891268329,-0.4063557139490637,0.8555269640303212
61360354,author_11411,random,Mature,2024-12-15,3.4850267334296117,-1.1481153304010463,-0.7146868513885506,-1.6153777527957631,-0.38837979014431456,1.5280658143254828,0.4619517886755391,0.589568123746644,0.384692975547316,1.3513415457019904
62678110,author_8580,random,Explicit,2025-02-01,0.6508759707061874,0.7691503748109583,-1.3688723669793512,-0.198189146637181,-0.8687569465796019,0.21513952281264936,0.22011847831615913,-0.30361917014395695,-0.215292790393078,0.1106320947067061
67511521,author_11724,random,Mature,2025-07-14,1.801366830906607,0.4363580366336605,-0.7666659028525645,0.0092144137375656,-2.256557200825756,1.1402948459202924,-1.1448709142713938,0.937192384328021,0.46684783903900734,0.09885457265448432
60588385,author_8086,random,Explicit,2024-11-15,-0.5984443355555483,0.7722588131223007,0.5447319320981697,-2.136706307840053,0.3356807170221216,0.13796262098217738,0.5283866368032881,0.36000369316959774,0.7794002338430052,-1.0751164882219642
59978677,author_2653,random,Mature,2024-10-23,-0.05851986748962484,1.426944832275422,-0.05353133242952834,-0.1864608708019295,-0.6487914233169292,-0.486209036783352,-0.13971822487049584,-0.8928154337578533,0.03695546658887337,-0.3496821214502149
68650626,author_128,random,Teen And Up Audiences,2025-08-04,-0.31660122716335065,-0.1780188613141685,-0.7284454879619155,-0.45249045684009215,0.8932004346905894,0.4045820030935759,1.038456084312796,1.4170760795277486,0.9080963964677412,1.0939651956254044
57829948,author_8383,random,Mature,2024-08-01,1.7130550181141246,0.679421097367829,-0.11715698745683505,-1.520127595893623,-1.0427810926554737,-0.31822469894514954,-0.5368241780257564,-0.1314604132901406,0.6225234277330274,0.04060003792724356
61847137,author_6659,random,Explicit,2025-01-03,-0.0506774255064259,0.7017393040718514,-0.1824020657679054,-1.3089756820782432,-1.231998464150113,0.23599840701131433,0.2898392890890749,0.10110817348390602,0.9964430128717372,-1.2081045665024115
61640623,author_1658,random,Explicit,2024-12-31,1.7475564131263035,-0.9047430930678968,-0.4290758457434023,0.930153449622614,-0.7279760059433438,0.3917804442339189,-2.4553018867179692,0.17817293432974243,-0.7320604938199728,-0.25044329199131254
50346274,author_11088,random,Explicit,2023-09-29,2.1341600012492292,-0.2268107296555771,-0.8677687987770184,-0.6690865614584057,0.01133090183785444,-0.6664321180307069,-0.8019699248853182,-0.5257334682155544,-0.9787160600226076,0.7887192608621664
