class_name,coef_mean,coef_std
HP,0.2437785350630818,0.010863420818530567
HP,0.21860322341885743,0.014106832039309887
HP,0.052432034981845475,0.009443475863782256
HP,-0.13391347702653467,0.0063226940402743665
HP,0.42550953212890563,0.00551073089693442
HP,-0.0296773880619554,0.006119972928165087
HP,-0.034497026834641537,0.009167645204032444
HP,-0.028501191255254292,0.007802206149247221
HP,0.10736591739883114,0.00827160483012717
HP,-0.2393802938184018,0.007607030361110527
LOTR,0.16965844620330936,0.008820616389682649
LOTR,-0.03901875421588587,0.008018407689911607
LOTR,-0.08901531413817523,0.008515932822601583
LOTR,-0.26784113823953026,0.0097116759621175
LOTR,0.4270367933308494,0.004483619520301335
LOTR,-0.13086888208351338,0.010095399834785412
LOTR,-0.7574266163131113,0.008542533882100101
LOTR,0.3756667100065335,0.010532451388436193
LOTR,-0.09150888041032303,0.011751890407008454
LOTR,0.379672883522268,0.006797535866774902
MAG,0.04670855852966037,0.007143714352441789
MAG,0.06372778065093512,0.0067550830369826
MAG,-0.07265756089971695,0.008721925537042458
MAG,0.047330265397917994,0.008031135586836154
MAG,0.29860630188777776,0.006555251128331561
MAG,-0.40487135568379073,0.0027676040014345564
MAG,-0.031371406419687206,0.014306586515431033
MAG,-0.745734657382366,0.006074281730087348
MAG,-0.09713098469202648,0.007437731257273067
MAG,0.32919322049504074,0.01623716615266208
PJ,-0.0031945764215164166,0.00839034502929665
PJ,-0.22620805379468795,0.012537088496201705
PJ,0.02130248801523905,0.011037909468684588
PJ,0.0835371655552052,0.007972550165455868
PJ,0.4402249999698878,0.007700278032680027
PJ,-0.006110505042366708,0.007792896204628775
PJ,0.10049919939469712,0.006897261986096402
PJ,0.21271573519936485,0.007338453708814599
PJ,0.33571083715249417,0.01143671850493013
PJ,-0.14169294564615256,0.005804668779107098
RPF,0.017440092719714334,0.015081106308868518
RPF,-0.32427951492544704,0.009510256875383316
RPF,0.05674666875562619,0.017964314339643805
RPF,0.4573011545123298,0.007738210537263658
RPF,-0.42079374065974734,0.008267245014331353
RPF,0.22820832590062562,0.004204886371162686
RPF,0.3233279970532754,0.012308753033441817
RPF,0.061169885336185593,0.008655018216632915
RPF,-0.19791105194062025,0.0030326423114591964
RPF,-0.029877232253584067,0.009296213911202708
random,-0.47439105609424936,0.022385098222449367
random,0.3071753188662285,0.015835704805801668
random,0.03119168328518155,0.009899239739895952
random,-0.1864139701993886,0.01313037485445717
random,-1.170583886657673,0.01680424551631236
random,0.34331980497100073,0.010691168896749027
random,0.39946785311946764,0.01439979350515853
random,0.12468351809553643,0.008790594015367062
random,-0.05652583750835573,0.009404066136983141
random,-0.2979156322991706,0.012086690758355601
